"position" "class" "mc" "h" "uc" "group" "generation"
13704775 "CHH" 0 16 16 "119_1_r1" "119_1"
13704779 "CHG" 0 15 15 "119_1_r1" "119_1"
13704780 "CG" 0 15 15 "119_1_r1" "119_1"
13704781 "CG" 0 16 16 "119_1_r1" "119_1"
13704782 "CHG" 0 16 16 "119_1_r1" "119_1"
13704783 "CG" 0 15 15 "119_1_r1" "119_1"
13704784 "CG" 0 16 16 "119_1_r1" "119_1"
13704786 "CHH" 0 16 16 "119_1_r1" "119_1"
13704788 "CHH" 0 17 17 "119_1_r1" "119_1"
13704789 "CHH" 0 18 18 "119_1_r1" "119_1"
13704791 "CHG" 0 17 17 "119_1_r1" "119_1"
13704792 "CG" 1 17 16 "119_1_r1" "119_1"
13704793 "CG" 0 14 14 "119_1_r1" "119_1"
13704796 "CHH" 0 14 14 "119_1_r1" "119_1"
13704798 "CHH" 0 16 16 "119_1_r1" "119_1"
13704800 "CHG" 0 16 16 "119_1_r1" "119_1"
13704801 "CG" 0 16 16 "119_1_r1" "119_1"
13704802 "CG" 0 15 15 "119_1_r1" "119_1"
13704804 "CHH" 0 15 15 "119_1_r1" "119_1"
13704807 "CHH" 1 15 14 "119_1_r1" "119_1"
13704808 "CHH" 0 14 14 "119_1_r1" "119_1"
13704810 "CHH" 1 16 15 "119_1_r1" "119_1"
13704811 "CHH" 0 17 17 "119_1_r1" "119_1"
13704817 "CHH" 0 16 16 "119_1_r1" "119_1"
13704819 "CHG" 0 16 16 "119_1_r1" "119_1"
13704820 "CG" 0 16 16 "119_1_r1" "119_1"
13704821 "CG" 0 18 18 "119_1_r1" "119_1"
13704822 "CHG" 0 18 18 "119_1_r1" "119_1"
13704824 "CHH" 0 15 15 "119_1_r1" "119_1"
13704827 "CHH" 0 21 21 "119_1_r1" "119_1"
13704829 "CHH" 0 20 20 "119_1_r1" "119_1"
13704835 "CHH" 0 21 21 "119_1_r1" "119_1"
13704836 "CHH" 0 13 13 "119_1_r1" "119_1"
13704838 "CHG" 1 13 12 "119_1_r1" "119_1"
13704840 "CHG" 0 22 22 "119_1_r1" "119_1"
13704841 "CHH" 0 22 22 "119_1_r1" "119_1"
13704845 "CHH" 0 22 22 "119_1_r1" "119_1"
13704848 "CHH" 0 24 24 "119_1_r1" "119_1"
13704850 "CHH" 0 23 23 "119_1_r1" "119_1"
13704851 "CHH" 0 10 10 "119_1_r1" "119_1"
13704853 "CHH" 0 10 10 "119_1_r1" "119_1"
13704854 "CHH" 0 10 10 "119_1_r1" "119_1"
13704856 "CG" 0 11 11 "119_1_r1" "119_1"
13704857 "CG" 0 24 24 "119_1_r1" "119_1"
13704864 "CHH" 0 6 6 "119_1_r1" "119_1"
13704868 "CHH" 0 5 5 "119_1_r1" "119_1"
13704872 "CHH" 0 23 23 "119_1_r1" "119_1"
13704878 "CHH" 0 23 23 "119_1_r1" "119_1"
13704880 "CHH" 0 23 23 "119_1_r1" "119_1"
13704884 "CHH" 0 21 21 "119_1_r1" "119_1"
13704887 "CHH" 0 20 20 "119_1_r1" "119_1"
13704889 "CHH" 0 20 20 "119_1_r1" "119_1"
13704890 "CHH" 0 5 5 "119_1_r1" "119_1"
13704892 "CHH" 0 5 5 "119_1_r1" "119_1"
13704893 "CHH" 0 5 5 "119_1_r1" "119_1"
13704895 "CHH" 0 4 4 "119_1_r1" "119_1"
13704896 "CHH" 0 4 4 "119_1_r1" "119_1"
13704902 "CHH" 0 4 4 "119_1_r1" "119_1"
13704906 "CHH" 0 4 4 "119_1_r1" "119_1"
13704909 "CHH" 0 4 4 "119_1_r1" "119_1"
13704913 "CHH" 0 18 18 "119_1_r1" "119_1"
13704915 "CHH" 0 18 18 "119_1_r1" "119_1"
13704925 "CHH" 0 11 11 "119_1_r1" "119_1"
13704947 "CHH" 0 2 2 "119_1_r1" "119_1"
13704949 "CHH" 0 2 2 "119_1_r1" "119_1"
13704954 "CHH" 1 16 15 "119_1_r1" "119_1"
13704959 "CG" 5 19 14 "119_1_r1" "119_1"
13704960 "CG" 1 3 2 "119_1_r1" "119_1"
13704963 "CHH" 1 3 2 "119_1_r1" "119_1"
13704964 "CHH" 5 22 17 "119_1_r1" "119_1"
13704968 "CHH" 6 22 16 "119_1_r1" "119_1"
13704972 "CHH" 3 5 2 "119_1_r1" "119_1"
13704979 "CG" 14 28 13 "119_1_r1" "119_1"
13704980 "CG" 5 6 1 "119_1_r1" "119_1"
13704987 "CHH" 4 6 1 "119_1_r1" "119_1"
13704991 "CHH" 2 6 4 "119_1_r1" "119_1"
13705004 "CHH" 5 36 31 "119_1_r1" "119_1"
13705008 "CHH" 3 35 32 "119_1_r1" "119_1"
13705012 "CHH" 4 36 32 "119_1_r1" "119_1"
13705021 "CHH" 0 6 6 "119_1_r1" "119_1"
13705031 "CG" 0 36 36 "119_1_r1" "119_1"
13705032 "CG" 0 6 6 "119_1_r1" "119_1"
13705037 "CHH" 0 5 5 "119_1_r1" "119_1"
13705045 "CHH" 0 4 4 "119_1_r1" "119_1"
13705046 "CHH" 0 5 5 "119_1_r1" "119_1"
13705049 "CHH" 2 23 21 "119_1_r1" "119_1"
13705054 "CHH" 0 5 5 "119_1_r1" "119_1"
13705059 "CHH" 0 5 5 "119_1_r1" "119_1"
13705064 "CHH" 0 4 4 "119_1_r1" "119_1"
13705069 "CHH" 0 4 4 "119_1_r1" "119_1"
13705071 "CHH" 0 4 4 "119_1_r1" "119_1"
13705072 "CHH" 0 3 3 "119_1_r1" "119_1"
13705075 "CHH" 0 3 3 "119_1_r1" "119_1"
13705079 "CHH" 0 3 3 "119_1_r1" "119_1"
13705081 "CG" 0 19 19 "119_1_r1" "119_1"
13705082 "CG" 0 3 3 "119_1_r1" "119_1"
13705084 "CHH" 0 3 3 "119_1_r1" "119_1"
13705085 "CHG" 0 17 17 "119_1_r1" "119_1"
13705087 "CHG" 0 3 3 "119_1_r1" "119_1"
13705090 "CHH" 0 16 16 "119_1_r1" "119_1"
13705091 "CHH" 0 16 16 "119_1_r1" "119_1"
13705096 "CHH" 0 13 13 "119_1_r1" "119_1"
13705102 "CHH" 0 14 14 "119_1_r1" "119_1"
13705106 "CHH" 0 3 3 "119_1_r1" "119_1"
13705107 "CHH" 1 3 2 "119_1_r1" "119_1"
13705117 "CHH" 0 16 16 "119_1_r1" "119_1"
13705123 "CHH" 0 20 20 "119_1_r1" "119_1"
13705127 "CHH" 0 1 1 "119_1_r1" "119_1"
13705131 "CG" 3 20 17 "119_1_r1" "119_1"
13705132 "CG" 0 1 1 "119_1_r1" "119_1"
13705135 "CHH" 0 21 21 "119_1_r1" "119_1"
13705142 "CHH" 0 1 1 "119_1_r1" "119_1"
13705148 "CHH" 0 1 1 "119_1_r1" "119_1"
13705149 "CHH" 0 1 1 "119_1_r1" "119_1"
13705153 "CHH" 0 27 27 "119_1_r1" "119_1"
13705156 "CHH" 0 1 1 "119_1_r1" "119_1"
13705157 "CHH" 0 28 28 "119_1_r1" "119_1"
13705161 "CHH" 0 1 1 "119_1_r1" "119_1"
13705166 "CHH" 0 29 29 "119_1_r1" "119_1"
13705172 "CHH" 0 2 2 "119_1_r1" "119_1"
13705173 "CHH" 0 2 2 "119_1_r1" "119_1"
13705177 "CHH" 0 35 35 "119_1_r1" "119_1"
13705184 "CHH" 0 2 2 "119_1_r1" "119_1"
13705185 "CHH" 0 2 2 "119_1_r1" "119_1"
13705192 "CHH" 0 2 2 "119_1_r1" "119_1"
13705205 "CHH" 0 2 2 "119_1_r1" "119_1"
13705207 "CHH" 0 2 2 "119_1_r1" "119_1"
13705208 "CHH" 0 2 2 "119_1_r1" "119_1"
13705209 "CHH" 0 38 38 "119_1_r1" "119_1"
13705220 "CHH" 0 2 2 "119_1_r1" "119_1"
13705223 "CHH" 0 2 2 "119_1_r1" "119_1"
13705234 "CHH" 0 1 1 "119_1_r1" "119_1"
13705242 "CHH" 0 35 35 "119_1_r1" "119_1"
13705247 "CHH" 0 36 36 "119_1_r1" "119_1"
13705252 "CHH" 0 3 3 "119_1_r1" "119_1"
13705253 "CHH" 0 35 35 "119_1_r1" "119_1"
13705259 "CHH" 1 34 33 "119_1_r1" "119_1"
13705261 "CG" 0 31 31 "119_1_r1" "119_1"
13705262 "CG" 0 2 2 "119_1_r1" "119_1"
13705267 "CHH" 0 5 5 "119_1_r1" "119_1"
13705269 "CG" 1 32 31 "119_1_r1" "119_1"
13705270 "CG" 0 6 6 "119_1_r1" "119_1"
13705273 "CHH" 0 7 7 "119_1_r1" "119_1"
13705274 "CHG" 0 31 31 "119_1_r1" "119_1"
13705276 "CHG" 0 7 7 "119_1_r1" "119_1"
13705279 "CG" 1 30 29 "119_1_r1" "119_1"
13705280 "CG" 0 7 7 "119_1_r1" "119_1"
13705288 "CHH" 0 7 7 "119_1_r1" "119_1"
13705289 "CHG" 0 30 30 "119_1_r1" "119_1"
13705291 "CHG" 0 7 7 "119_1_r1" "119_1"
13705315 "CHH" 0 7 7 "119_1_r1" "119_1"
13705318 "CHH" 0 7 7 "119_1_r1" "119_1"
13705319 "CHH" 0 15 15 "119_1_r1" "119_1"
13705322 "CHH" 0 8 8 "119_1_r1" "119_1"
13705323 "CHH" 1 15 14 "119_1_r1" "119_1"
13705325 "CHH" 0 15 15 "119_1_r1" "119_1"
13705328 "CHH" 0 15 15 "119_1_r1" "119_1"
13705333 "CHH" 0 14 14 "119_1_r1" "119_1"
13705342 "CHH" 0 5 5 "119_1_r1" "119_1"
13705344 "CHH" 0 4 4 "119_1_r1" "119_1"
13705348 "CHH" 0 3 3 "119_1_r1" "119_1"
13705354 "CHH" 0 2 2 "119_1_r1" "119_1"
13705361 "CHH" 0 7 7 "119_1_r1" "119_1"
13705371 "CHH" 0 5 5 "119_1_r1" "119_1"
13705381 "CG" 0 4 4 "119_1_r1" "119_1"
13705382 "CG" 0 4 4 "119_1_r1" "119_1"
13705396 "CHH" 0 5 5 "119_1_r1" "119_1"
13705397 "CG" 0 4 4 "119_1_r1" "119_1"
13705398 "CG" 0 6 6 "119_1_r1" "119_1"
13705405 "CHH" 0 6 6 "119_1_r1" "119_1"
13705412 "CHG" 0 3 3 "119_1_r1" "119_1"
13705414 "CHG" 0 6 6 "119_1_r1" "119_1"
13705417 "CHH" 0 3 3 "119_1_r1" "119_1"
13705418 "CHH" 0 3 3 "119_1_r1" "119_1"
13705422 "CHH" 0 3 3 "119_1_r1" "119_1"
13705424 "CHH" 0 3 3 "119_1_r1" "119_1"
13705443 "CHH" 0 5 5 "119_1_r1" "119_1"
13705445 "CHH" 0 5 5 "119_1_r1" "119_1"
13705446 "CHH" 0 3 3 "119_1_r1" "119_1"
13705449 "CHH" 0 5 5 "119_1_r1" "119_1"
13705450 "CHH" 0 2 2 "119_1_r1" "119_1"
13705455 "CHH" 0 5 5 "119_1_r1" "119_1"
13705458 "CHH" 0 4 4 "119_1_r1" "119_1"
13705464 "CHH" 0 3 3 "119_1_r1" "119_1"
13705491 "CHH" 0 4 4 "119_1_r1" "119_1"
13705493 "CHH" 0 7 7 "119_1_r1" "119_1"
13705497 "CHH" 0 9 9 "119_1_r1" "119_1"
13705503 "CHH" 0 2 2 "119_1_r1" "119_1"
13705504 "CHH" 0 2 2 "119_1_r1" "119_1"
13705505 "CHH" 0 3 3 "119_1_r1" "119_1"
13705508 "CHH" 0 3 3 "119_1_r1" "119_1"
13705511 "CHH" 0 3 3 "119_1_r1" "119_1"
13705517 "CHH" 0 4 4 "119_1_r1" "119_1"
13705520 "CHH" 0 11 11 "119_1_r1" "119_1"
13705521 "CHH" 0 5 5 "119_1_r1" "119_1"
13705526 "CHH" 0 11 11 "119_1_r1" "119_1"
13705527 "CHH" 1 6 5 "119_1_r1" "119_1"
13705528 "CHG" 0 6 6 "119_1_r1" "119_1"
13705530 "CHG" 0 12 12 "119_1_r1" "119_1"
13705541 "CHH" 0 8 8 "119_1_r1" "119_1"
13705544 "CHH" 0 11 11 "119_1_r1" "119_1"
13705546 "CG" 0 8 8 "119_1_r1" "119_1"
13705547 "CG" 0 10 10 "119_1_r1" "119_1"
13705549 "CG" 0 8 8 "119_1_r1" "119_1"
13705550 "CG" 0 10 10 "119_1_r1" "119_1"
13705551 "CG" 0 8 8 "119_1_r1" "119_1"
13705552 "CG" 0 10 10 "119_1_r1" "119_1"
13705553 "CHG" 0 9 9 "119_1_r1" "119_1"
13705555 "CHH" 0 9 9 "119_1_r1" "119_1"
13705561 "CHH" 0 10 10 "119_1_r1" "119_1"
13705565 "CG" 0 8 8 "119_1_r1" "119_1"
13705566 "CG" 0 11 11 "119_1_r1" "119_1"
13705567 "CHG" 0 11 11 "119_1_r1" "119_1"
13705569 "CHH" 0 9 9 "119_1_r1" "119_1"
13705572 "CHH" 0 9 9 "119_1_r1" "119_1"
13705574 "CHH" 2 9 7 "119_1_r1" "119_1"
13705578 "CHH" 1 8 7 "119_1_r1" "119_1"
13705580 "CHH" 0 7 7 "119_1_r1" "119_1"
13705582 "CHH" 0 7 7 "119_1_r1" "119_1"
13705587 "CHH" 0 7 7 "119_1_r1" "119_1"
13705591 "CHH" 0 10 10 "119_1_r1" "119_1"
13705596 "CHH" 0 11 11 "119_1_r1" "119_1"
13705600 "CHG" 0 8 8 "119_1_r1" "119_1"
13705601 "CG" 0 8 8 "119_1_r1" "119_1"
13705602 "CG" 0 10 10 "119_1_r1" "119_1"
13705604 "CHH" 0 8 8 "119_1_r1" "119_1"
13705606 "CHH" 0 8 8 "119_1_r1" "119_1"
13705609 "CHH" 0 12 12 "119_1_r1" "119_1"
13705620 "CHH" 0 10 10 "119_1_r1" "119_1"
13705623 "CHG" 0 4 4 "119_1_r1" "119_1"
13705624 "CG" 0 4 4 "119_1_r1" "119_1"
13705625 "CG" 0 9 9 "119_1_r1" "119_1"
13705631 "CHH" 0 4 4 "119_1_r1" "119_1"
13705632 "CHH" 0 4 4 "119_1_r1" "119_1"
13705642 "CHH" 0 2 2 "119_1_r1" "119_1"
13705647 "CHH" 0 3 3 "119_1_r1" "119_1"
13705652 "CHH" 0 11 11 "119_1_r1" "119_1"
13705657 "CHH" 0 11 11 "119_1_r1" "119_1"
13705658 "CHH" 1 4 3 "119_1_r1" "119_1"
13705665 "CHH" 0 3 3 "119_1_r1" "119_1"
13705670 "CHH" 0 3 3 "119_1_r1" "119_1"
13705686 "CHH" 0 11 11 "119_1_r1" "119_1"
13705696 "CHH" 0 12 12 "119_1_r1" "119_1"
13705698 "CHH" 0 16 16 "119_1_r1" "119_1"
13705702 "CHH" 0 12 12 "119_1_r1" "119_1"
13705704 "CHH" 0 17 17 "119_1_r1" "119_1"
13705705 "CHH" 0 17 17 "119_1_r1" "119_1"
13705713 "CHH" 0 14 14 "119_1_r1" "119_1"
13705714 "CHH" 0 14 14 "119_1_r1" "119_1"
13705718 "CHH" 0 13 13 "119_1_r1" "119_1"
13705719 "CHH" 0 17 17 "119_1_r1" "119_1"
13705723 "CG" 0 17 17 "119_1_r1" "119_1"
13705724 "CG" 0 13 13 "119_1_r1" "119_1"
13705727 "CHH" 0 15 15 "119_1_r1" "119_1"
13705729 "CHH" 0 17 17 "119_1_r1" "119_1"
13705732 "CHH" 0 13 13 "119_1_r1" "119_1"
13705733 "CHH" 0 15 15 "119_1_r1" "119_1"
13705734 "CG" 0 18 18 "119_1_r1" "119_1"
13705735 "CG" 0 14 14 "119_1_r1" "119_1"
13705743 "CHH" 0 18 18 "119_1_r1" "119_1"
13705748 "CHH" 0 13 13 "119_1_r1" "119_1"
13705750 "CHG" 0 16 16 "119_1_r1" "119_1"
13705751 "CG" 0 16 16 "119_1_r1" "119_1"
13705752 "CG" 0 14 14 "119_1_r1" "119_1"
13705757 "CHH" 0 14 14 "119_1_r1" "119_1"
13705773 "CHH" 0 13 13 "119_1_r1" "119_1"
13705776 "CHH" 0 10 10 "119_1_r1" "119_1"
13705782 "CHH" 1 12 11 "119_1_r1" "119_1"
13705784 "CHH" 1 12 11 "119_1_r1" "119_1"
13705789 "CHH" 0 10 10 "119_1_r1" "119_1"
13705793 "CHH" 1 10 9 "119_1_r1" "119_1"
13705798 "CHH" 0 8 8 "119_1_r1" "119_1"
13705805 "CHH" 0 11 11 "119_1_r1" "119_1"
13705806 "CHH" 0 11 11 "119_1_r1" "119_1"
13705808 "CHH" 0 11 11 "119_1_r1" "119_1"
13705811 "CHH" 0 5 5 "119_1_r1" "119_1"
13705813 "CHG" 0 12 12 "119_1_r1" "119_1"
13705815 "CHG" 0 4 4 "119_1_r1" "119_1"
13705821 "CHH" 0 14 14 "119_1_r1" "119_1"
13705824 "CHH" 0 4 4 "119_1_r1" "119_1"
13705826 "CHH" 0 3 3 "119_1_r1" "119_1"
13705842 "CHH" 0 17 17 "119_1_r1" "119_1"
13705844 "CHH" 0 16 16 "119_1_r1" "119_1"
13705853 "CHH" 0 1 1 "119_1_r1" "119_1"
13705854 "CHH" 0 1 1 "119_1_r1" "119_1"
13705859 "CHH" 0 1 1 "119_1_r1" "119_1"
13705860 "CHH" 0 1 1 "119_1_r1" "119_1"
13705862 "CHH" 0 1 1 "119_1_r1" "119_1"
13705865 "CHH" 0 1 1 "119_1_r1" "119_1"
13705866 "CHH" 0 1 1 "119_1_r1" "119_1"
13705867 "CHH" 0 1 1 "119_1_r1" "119_1"
13705878 "CHH" 0 15 15 "119_1_r1" "119_1"
13705880 "CHH" 0 14 14 "119_1_r1" "119_1"
13705882 "CHG" 0 14 14 "119_1_r1" "119_1"
13705893 "CHH" 0 1 1 "119_1_r1" "119_1"
13705894 "CHH" 0 1 1 "119_1_r1" "119_1"
13705900 "CHH" 0 13 13 "119_1_r1" "119_1"
13705902 "CHH" 0 13 13 "119_1_r1" "119_1"
13705905 "CHH" 0 3 3 "119_1_r1" "119_1"
13705906 "CHH" 0 3 3 "119_1_r1" "119_1"
13705908 "CHH" 0 3 3 "119_1_r1" "119_1"
13705909 "CHH" 0 12 12 "119_1_r1" "119_1"
13705912 "CHH" 0 11 11 "119_1_r1" "119_1"
13705914 "CHG" 0 10 10 "119_1_r1" "119_1"
13705916 "CHG" 0 3 3 "119_1_r1" "119_1"
13705918 "CHH" 0 4 4 "119_1_r1" "119_1"
13705919 "CHH" 0 9 9 "119_1_r1" "119_1"
13705920 "CHH" 0 8 8 "119_1_r1" "119_1"
13705921 "CHG" 0 8 8 "119_1_r1" "119_1"
13705923 "CHG" 0 5 5 "119_1_r1" "119_1"
13705926 "CHH" 0 5 5 "119_1_r1" "119_1"
13705927 "CHG" 0 9 9 "119_1_r1" "119_1"
13705929 "CHG" 0 5 5 "119_1_r1" "119_1"
13705930 "CHH" 0 8 8 "119_1_r1" "119_1"
13705935 "CHH" 0 6 6 "119_1_r1" "119_1"
13705936 "CHH" 0 6 6 "119_1_r1" "119_1"
13705938 "CHG" 0 6 6 "119_1_r1" "119_1"
13705940 "CHG" 0 6 6 "119_1_r1" "119_1"
13705947 "CHH" 0 7 7 "119_1_r1" "119_1"
13705948 "CHH" 0 5 5 "119_1_r1" "119_1"
13705949 "CHH" 0 5 5 "119_1_r1" "119_1"
13705955 "CHH" 0 8 8 "119_1_r1" "119_1"
13705959 "CHH" 0 4 4 "119_1_r1" "119_1"
13705962 "CHH" 0 4 4 "119_1_r1" "119_1"
13705966 "CHH" 0 9 9 "119_1_r1" "119_1"
13705967 "CHH" 0 4 4 "119_1_r1" "119_1"
13705970 "CG" 0 4 4 "119_1_r1" "119_1"
13705971 "CG" 0 10 10 "119_1_r1" "119_1"
13705974 "CHH" 0 9 9 "119_1_r1" "119_1"
13705975 "CHH" 0 9 9 "119_1_r1" "119_1"
13705977 "CHH" 0 3 3 "119_1_r1" "119_1"
13705980 "CHH" 0 9 9 "119_1_r1" "119_1"
13705981 "CHH" 0 9 9 "119_1_r1" "119_1"
13705982 "CHH" 0 3 3 "119_1_r1" "119_1"
13705983 "CHH" 0 3 3 "119_1_r1" "119_1"
13705986 "CHH" 0 9 9 "119_1_r1" "119_1"
13705987 "CHH" 0 9 9 "119_1_r1" "119_1"
13705989 "CHH" 0 9 9 "119_1_r1" "119_1"
13705990 "CHH" 0 8 8 "119_1_r1" "119_1"
13705993 "CHH" 0 8 8 "119_1_r1" "119_1"
13705998 "CHH" 0 9 9 "119_1_r1" "119_1"
13705999 "CHH" 0 1 1 "119_1_r1" "119_1"
13706001 "CHG" 0 1 1 "119_1_r1" "119_1"
13706003 "CHG" 0 11 11 "119_1_r1" "119_1"
13706004 "CHH" 0 11 11 "119_1_r1" "119_1"
13706012 "CHH" 0 1 1 "119_1_r1" "119_1"
13706013 "CHH" 0 1 1 "119_1_r1" "119_1"
13706015 "CHH" 0 1 1 "119_1_r1" "119_1"
13706018 "CHH" 0 1 1 "119_1_r1" "119_1"
13706036 "CHH" 0 1 1 "119_1_r1" "119_1"
13706038 "CHH" 0 1 1 "119_1_r1" "119_1"
13706039 "CHH" 0 1 1 "119_1_r1" "119_1"
13706046 "CHH" 0 21 21 "119_1_r1" "119_1"
13706050 "CHH" 0 21 21 "119_1_r1" "119_1"
13706051 "CHH" 0 2 2 "119_1_r1" "119_1"
13706053 "CHH" 0 3 3 "119_1_r1" "119_1"
13706059 "CHG" 0 4 4 "119_1_r1" "119_1"
13706060 "CG" 0 5 5 "119_1_r1" "119_1"
13706061 "CG" 0 21 21 "119_1_r1" "119_1"
13706073 "CHH" 0 14 14 "119_1_r1" "119_1"
13706075 "CHG" 1 15 14 "119_1_r1" "119_1"
13706077 "CHG" 0 22 22 "119_1_r1" "119_1"
13706082 "CHH" 0 21 20 "119_1_r1" "119_1"
13706083 "CHH" 0 16 16 "119_1_r1" "119_1"
13706087 "CHH" 0 23 23 "119_1_r1" "119_1"
13706092 "CHH" 0 18 18 "119_1_r1" "119_1"
13706095 "CHH" 0 20 20 "119_1_r1" "119_1"
13706101 "CHG" 0 22 22 "119_1_r1" "119_1"
13706103 "CHG" 0 22 22 "119_1_r1" "119_1"
13706104 "CHH" 0 22 22 "119_1_r1" "119_1"
13706107 "CHH" 0 22 22 "119_1_r1" "119_1"
13706108 "CHH" 0 22 22 "119_1_r1" "119_1"
13706115 "CHH" 0 19 19 "119_1_r1" "119_1"
13706119 "CHH" 1 22 21 "119_1_r1" "119_1"
13706120 "CHH" 0 22 22 "119_1_r1" "119_1"
13706125 "CHH" 0 18 18 "119_1_r1" "119_1"
13706129 "CHH" 0 15 15 "119_1_r1" "119_1"
13706140 "CG" 0 22 22 "119_1_r1" "119_1"
13706141 "CG" 0 10 10 "119_1_r1" "119_1"
13706144 "CHH" 0 8 8 "119_1_r1" "119_1"
13706147 "CHH" 0 5 5 "119_1_r1" "119_1"
13706148 "CHH" 0 4 4 "119_1_r1" "119_1"
13706153 "CHH" 0 3 3 "119_1_r1" "119_1"
13706154 "CHH" 0 2 2 "119_1_r1" "119_1"
13706158 "CHH" 0 1 1 "119_1_r1" "119_1"
13706167 "CHH" 0 11 11 "119_1_r1" "119_1"
13706170 "CHH" 0 1 1 "119_1_r1" "119_1"
13706172 "CHH" 1 7 6 "119_1_r1" "119_1"
13706178 "CHH" 0 1 1 "119_1_r1" "119_1"
13706179 "CHH" 0 4 4 "119_1_r1" "119_1"
13706182 "CHH" 0 1 1 "119_1_r1" "119_1"
13706183 "CHH" 0 3 3 "119_1_r1" "119_1"
13706189 "CHH" 0 2 2 "119_1_r1" "119_1"
13706200 "CHH" 0 1 1 "119_1_r1" "119_1"
13706209 "CHH" 0 1 1 "119_1_r1" "119_1"
13706224 "CHH" 0 7 7 "119_1_r1" "119_1"
13706225 "CHH" 0 8 8 "119_1_r1" "119_1"
13706226 "CHH" 0 8 8 "119_1_r1" "119_1"
13706228 "CHH" 0 8 8 "119_1_r1" "119_1"
13706237 "CHG" 0 12 12 "119_1_r1" "119_1"
13706239 "CHG" 0 1 1 "119_1_r1" "119_1"
13706242 "CHH" 0 1 1 "119_1_r1" "119_1"
13706244 "CHH" 0 17 17 "119_1_r1" "119_1"
13706247 "CG" 0 19 19 "119_1_r1" "119_1"
13706248 "CG" 0 1 1 "119_1_r1" "119_1"
13706262 "CHH" 0 1 1 "119_1_r1" "119_1"
13706267 "CHH" 0 1 1 "119_1_r1" "119_1"
13706270 "CHH" 0 1 1 "119_1_r1" "119_1"
13706271 "CHH" 0 1 1 "119_1_r1" "119_1"
13706273 "CHH" 0 24 24 "119_1_r1" "119_1"
13706276 "CHH" 0 25 25 "119_1_r1" "119_1"
13706283 "CHG" 0 27 27 "119_1_r1" "119_1"
13706303 "CHG" 0 31 31 "119_1_r1" "119_1"
13706314 "CHH" 0 28 28 "119_1_r1" "119_1"
13706325 "CHG" 0 27 27 "119_1_r1" "119_1"
13706331 "CHH" 0 27 27 "119_1_r1" "119_1"
13706335 "CHH" 0 26 26 "119_1_r1" "119_1"
13706338 "CHH" 0 1 1 "119_1_r1" "119_1"
13706340 "CG" 1 29 28 "119_1_r1" "119_1"
13706341 "CG" 0 1 1 "119_1_r1" "119_1"
13706343 "CG" 0 29 29 "119_1_r1" "119_1"
13706344 "CG" 0 1 1 "119_1_r1" "119_1"
13706347 "CHH" 0 29 29 "119_1_r1" "119_1"
13706350 "CG" 0 27 27 "119_1_r1" "119_1"
13706351 "CG" 0 1 1 "119_1_r1" "119_1"
13706352 "CHH" 0 25 25 "119_1_r1" "119_1"
13706358 "CG" 0 24 24 "119_1_r1" "119_1"
13706359 "CG" 0 3 3 "119_1_r1" "119_1"
13706361 "CHH" 1 26 25 "119_1_r1" "119_1"
13706363 "CHG" 0 26 26 "119_1_r1" "119_1"
13706364 "CG" 0 27 27 "119_1_r1" "119_1"
13706365 "CG" 0 3 3 "119_1_r1" "119_1"
13706369 "CHH" 0 3 3 "119_1_r1" "119_1"
13706370 "CHH" 0 3 3 "119_1_r1" "119_1"
13706374 "CG" 0 29 29 "119_1_r1" "119_1"
13706375 "CG" 0 3 3 "119_1_r1" "119_1"
13706378 "CHH" 0 3 3 "119_1_r1" "119_1"
13706380 "CHH" 0 3 3 "119_1_r1" "119_1"
13706381 "CHH" 0 3 3 "119_1_r1" "119_1"
13706382 "CHH" 0 3 3 "119_1_r1" "119_1"
13706386 "CHH" 0 3 3 "119_1_r1" "119_1"
13706387 "CHH" 0 3 3 "119_1_r1" "119_1"
13706388 "CHH" 0 3 3 "119_1_r1" "119_1"
13706393 "CHH" 0 4 4 "119_1_r1" "119_1"
13706394 "CHH" 0 22 22 "119_1_r1" "119_1"
13706400 "CHH" 0 21 21 "119_1_r1" "119_1"
13706404 "CG" 0 22 22 "119_1_r1" "119_1"
13706405 "CG" 0 5 5 "119_1_r1" "119_1"
13706408 "CHH" 0 5 5 "119_1_r1" "119_1"
13706410 "CHH" 0 5 5 "119_1_r1" "119_1"
13706412 "CHH" 0 22 22 "119_1_r1" "119_1"
13706415 "CHH" 0 21 21 "119_1_r1" "119_1"
13706417 "CHH" 0 20 20 "119_1_r1" "119_1"
13706418 "CHH" 1 19 18 "119_1_r1" "119_1"
13706421 "CG" 0 18 18 "119_1_r1" "119_1"
13706422 "CG" 0 9 9 "119_1_r1" "119_1"
13706423 "CHG" 0 10 10 "119_1_r1" "119_1"
13706424 "CHH" 0 19 19 "119_1_r1" "119_1"
13706426 "CHG" 0 20 20 "119_1_r1" "119_1"
13706428 "CHG" 0 10 10 "119_1_r1" "119_1"
13706431 "CG" 1 19 18 "119_1_r1" "119_1"
13706432 "CG" 0 10 10 "119_1_r1" "119_1"
13706435 "CHH" 0 20 20 "119_1_r1" "119_1"
13706438 "CHH" 0 13 13 "119_1_r1" "119_1"
13706439 "CHH" 0 12 12 "119_1_r1" "119_1"
13706441 "CHH" 0 12 12 "119_1_r1" "119_1"
13706446 "CHH" 0 12 12 "119_1_r1" "119_1"
13706449 "CG" 0 13 13 "119_1_r1" "119_1"
